record_id,customer_id,account_id,discrepancy_type,source_table,transaction_amount,currency,contact_type,contact_value,ssn,address_line1,city,zip_code,account_status,outcome,date_of_record
1,581,1585,Suspicious transaction activity,transactions,1694.33,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/15/2024 19:30
2,342,630,Suspicious transaction activity,transactions,1621.88,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/8/2024 7:57
3,69,2085,Suspicious transaction activity,transactions,1595.51,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/15/2024 16:04
4,69,2085,Suspicious transaction activity,transactions,1657.66,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,2/10/2021 2:50
5,721,2397,Suspicious transaction activity,transactions,1771.38,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/29/2024 21:55
6,721,2397,Suspicious transaction activity,transactions,1706.84,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/24/2024 22:33
7,185,2130,Suspicious transaction activity,transactions,1537.84,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/16/2024 1:19
8,993,1194,Suspicious transaction activity,transactions,1792.69,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/27/2023 10:41
9,993,1194,Suspicious transaction activity,transactions,1695.18,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/4/2023 3:41
10,993,1194,Suspicious transaction activity,transactions,1714.6,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/3/2022 7:33
11,737,672,Suspicious transaction activity,transactions,1897.56,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/12/2024 20:11
12,912,1332,Suspicious transaction activity,transactions,1890.38,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/4/2022 4:31
13,912,1332,Suspicious transaction activity,transactions,1952.28,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/9/2024 18:52
14,541,380,Suspicious transaction activity,transactions,1797.48,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/3/2024 17:02
15,541,380,Suspicious transaction activity,transactions,1714.72,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/3/2024 14:59
